地域,国名,年月,四半期,月,人数,昨対比,人口比,通貨為替レート(円) の平均,為替昨対比,月,四半期
,,2022-05-01 00:00:00,Qtr 2,May,,,,113.22,114.521%,5,2
オセアニア,ニュージーランド,2022-05-01 00:00:00,Qtr 2,May,,,,82.29,104.336%,5,2
オセアニア,豪州,2022-05-01 00:00:00,Qtr 2,May,1500,1764.706%,0.006%,90.58,106.879%,5,2
ヨーロッパ,イタリア,2022-05-01 00:00:00,Qtr 2,May,900,957.447%,0.001%,,,5,2
ヨーロッパ,スイス,2022-05-01 00:00:00,Qtr 2,May,,,,131.35,108.473%,5,2
ヨーロッパ,スウェーデン,2022-05-01 00:00:00,Qtr 2,May,,,,12.95,98.930%,5,2
ヨーロッパ,スペイン,2022-05-01 00:00:00,Qtr 2,May,500,316.456%,0.001%,,,5,2
ヨーロッパ,デンマーク,2022-05-01 00:00:00,Qtr 2,May,,,,18.31,102.577%,5,2
ヨーロッパ,ドイツ,2022-05-01 00:00:00,Qtr 2,May,2200,1013.825%,0.003%,,,5,2
ヨーロッパ,トルコ,2022-05-01 00:00:00,Qtr 2,May,,,,8.23,63.259%,5,2
ヨーロッパ,ノルウェー,2022-05-01 00:00:00,Qtr 2,May,,,,13.37,101.750%,5,2
ヨーロッパ,フランス,2022-05-01 00:00:00,Qtr 2,May,2000,956.938%,0.003%,,,5,2
ヨーロッパ,ポーランド,2022-05-01 00:00:00,Qtr 2,May,,,,29.33,99.932%,5,2
ヨーロッパ,ロシア,2022-05-01 00:00:00,Qtr 2,May,400,250.000%,0.000%,2.00,135.135%,5,2
ヨーロッパ,英国,2022-05-01 00:00:00,Qtr 2,May,1900,984.456%,0.003%,160.23,104.045%,5,2
近隣アジア,韓国,2022-05-01 00:00:00,Qtr 2,May,8800,926.316%,0.017%,10.15,104.531%,5,2
近隣アジア,香港,2022-05-01 00:00:00,Qtr 2,May,700,1076.923%,0.009%,16.41,116.714%,5,2
近隣アジア,台湾,2022-05-01 00:00:00,Qtr 2,May,1900,581.040%,0.008%,4.35,111.253%,5,2
近隣アジア,中国,2022-05-01 00:00:00,Qtr 2,May,17600,965.442%,0.001%,19.13,112.596%,5,2
東南アジア,インド,2022-05-01 00:00:00,Qtr 2,May,4500,980.392%,0.000%,1.67,111.333%,5,2
東南アジア,インドネシア,2022-05-01 00:00:00,Qtr 2,May,8700,2852.459%,0.003%,0.88,115.789%,5,2
東南アジア,シンガポール,2022-05-01 00:00:00,Qtr 2,May,1200,3243.243%,0.020%,93.14,113.433%,5,2
東南アジア,タイ,2022-05-01 00:00:00,Qtr 2,May,2900,1234.043%,0.004%,3.74,107.163%,5,2
東南アジア,フィリピン,2022-05-01 00:00:00,Qtr 2,May,6700,1073.718%,0.006%,2.46,107.895%,5,2
東南アジア,ベトナム,2022-05-01 00:00:00,Qtr 2,May,39000,9176.471%,0.039%,,,5,2
東南アジア,マレーシア,2022-05-01 00:00:00,Qtr 2,May,1600,1095.890%,0.005%,29.38,111.078%,5,2
南アメリカ,メキシコ,2022-05-01 00:00:00,Qtr 2,May,200,540.541%,0.000%,6.43,117.550%,5,2
北アメリカ,カナダ,2022-05-01 00:00:00,Qtr 2,May,900,1428.571%,0.002%,100.16,111.067%,5,2
北アメリカ,米国,2022-05-01 00:00:00,Qtr 2,May,8100,845.511%,0.002%,128.80,117.949%,5,2
,,2022-04-01 00:00:00,Qtr 2,April,,,,111.44,113.212%,4,2
オセアニア,ニュージーランド,2022-04-01 00:00:00,Qtr 2,April,,,,85.43,110.048%,4,2
オセアニア,豪州,2022-04-01 00:00:00,Qtr 2,April,1100,1157.895%,0.004%,93.07,110.864%,4,2
ヨーロッパ,イタリア,2022-04-01 00:00:00,Qtr 2,April,800,879.121%,0.001%,,,4,2
ヨーロッパ,スイス,2022-04-01 00:00:00,Qtr 2,April,,,,133.70,113.180%,4,2
ヨーロッパ,スウェーデン,2022-04-01 00:00:00,Qtr 2,April,,,,13.21,103.042%,4,2
ヨーロッパ,スペイン,2022-04-01 00:00:00,Qtr 2,April,400,506.329%,0.001%,,,4,2
ヨーロッパ,デンマーク,2022-04-01 00:00:00,Qtr 2,April,,,,18.35,104.618%,4,2
ヨーロッパ,ドイツ,2022-04-01 00:00:00,Qtr 2,April,1600,1151.079%,0.002%,,,4,2
ヨーロッパ,トルコ,2022-04-01 00:00:00,Qtr 2,April,,,,8.57,64.147%,4,2
ヨーロッパ,ノルウェー,2022-04-01 00:00:00,Qtr 2,April,,,,14.21,109.476%,4,2
ヨーロッパ,フランス,2022-04-01 00:00:00,Qtr 2,April,1700,1382.114%,0.003%,,,4,2
ヨーロッパ,ポーランド,2022-04-01 00:00:00,Qtr 2,April,,,,29.37,102.836%,4,2
ヨーロッパ,ロシア,2022-04-01 00:00:00,Qtr 2,April,800,606.061%,0.001%,1.55,108.392%,4,2
ヨーロッパ,英国,2022-04-01 00:00:00,Qtr 2,April,1600,864.865%,0.002%,163.50,108.264%,4,2
近隣アジア,韓国,2022-04-01 00:00:00,Qtr 2,April,7700,715.613%,0.015%,10.21,104.611%,4,2
近隣アジア,香港,2022-04-01 00:00:00,Qtr 2,April,1300,2203.390%,0.017%,16.07,114.377%,4,2
近隣アジア,台湾,2022-04-01 00:00:00,Qtr 2,April,2800,691.358%,0.012%,4.34,112.435%,4,2
近隣アジア,中国,2022-04-01 00:00:00,Qtr 2,April,22400,684.806%,0.002%,19.61,117.215%,4,2
東南アジア,インド,2022-04-01 00:00:00,Qtr 2,April,3600,648.649%,0.000%,1.66,112.925%,4,2
東南アジア,インドネシア,2022-04-01 00:00:00,Qtr 2,April,11700,5909.091%,0.004%,0.88,117.333%,4,2
東南アジア,シンガポール,2022-04-01 00:00:00,Qtr 2,April,600,1500.000%,0.010%,92.34,112.954%,4,2
東南アジア,タイ,2022-04-01 00:00:00,Qtr 2,April,3200,2077.922%,0.005%,3.74,107.163%,4,2
東南アジア,フィリピン,2022-04-01 00:00:00,Qtr 2,April,8500,4009.434%,0.008%,2.42,107.556%,4,2
東南アジア,ベトナム,2022-04-01 00:00:00,Qtr 2,April,29800,8975.904%,0.030%,,,4,2
東南アジア,マレーシア,2022-04-01 00:00:00,Qtr 2,April,1100,1157.895%,0.003%,29.58,111.749%,4,2
南アメリカ,メキシコ,2022-04-01 00:00:00,Qtr 2,April,200,512.821%,0.000%,6.29,115.625%,4,2
北アメリカ,カナダ,2022-04-01 00:00:00,Qtr 2,April,700,666.667%,0.002%,99.88,114.541%,4,2
北アメリカ,米国,2022-04-01 00:00:00,Qtr 2,April,5200,891.938%,0.002%,125.98,115.419%,4,2
,,2022-03-01 00:00:00,Qtr 1,March,,,,105.25,107.627%,3,1
オセアニア,その他オセアニア,2022-03-01 00:00:00,Qtr 1,March,38,760.000%,,,,3,1
オセアニア,ニュージーランド,2022-03-01 00:00:00,Qtr 1,March,106,460.870%,0.002%,81.29,104.755%,3,1
オセアニア,豪州,2022-03-01 00:00:00,Qtr 1,March,612,1302.128%,0.002%,87.27,104.203%,3,1
その他,無国籍・その他,2022-03-01 00:00:00,Qtr 1,March,7,350.000%,,,,3,1
その他アジア,その他アジア,2022-03-01 00:00:00,Qtr 1,March,8490,448.732%,,,,3,1
その他アジア,モンゴル,2022-03-01 00:00:00,Qtr 1,March,1211,1705.634%,0.036%,,,3,1
ヨーロッパ,アイルランド,2022-03-01 00:00:00,Qtr 1,March,62,620.000%,0.001%,,,3,1
ヨーロッパ,イタリア,2022-03-01 00:00:00,Qtr 1,March,394,788.000%,0.001%,,,3,1
ヨーロッパ,オーストリア,2022-03-01 00:00:00,Qtr 1,March,81,245.455%,0.001%,,,3,1
ヨーロッパ,オランダ,2022-03-01 00:00:00,Qtr 1,March,195,812.500%,0.001%,,,3,1
ヨーロッパ,スイス,2022-03-01 00:00:00,Qtr 1,March,132,776.471%,0.002%,127.49,108.975%,3,1
ヨーロッパ,スウェーデン,2022-03-01 00:00:00,Qtr 1,March,109,1816.667%,0.001%,12.37,97.096%,3,1
ヨーロッパ,スペイン,2022-03-01 00:00:00,Qtr 1,March,262,315.663%,0.001%,,,3,1
ヨーロッパ,その他ヨーロッパ,2022-03-01 00:00:00,Qtr 1,March,1131,491.739%,,,,3,1
ヨーロッパ,デンマーク,2022-03-01 00:00:00,Qtr 1,March,87,511.765%,0.002%,17.55,100.862%,3,1
ヨーロッパ,ドイツ,2022-03-01 00:00:00,Qtr 1,March,714,903.797%,0.001%,,,3,1
ヨーロッパ,トルコ,2022-03-01 00:00:00,Qtr 1,March,126,381.818%,0.000%,8.15,57.597%,3,1
ヨーロッパ,ノルウェー,2022-03-01 00:00:00,Qtr 1,March,80,1600.000%,0.001%,13.41,105.259%,3,1
ヨーロッパ,フィンランド,2022-03-01 00:00:00,Qtr 1,March,70,875.000%,0.001%,,,3,1
ヨーロッパ,フランス,2022-03-01 00:00:00,Qtr 1,March,835,959.770%,0.001%,,,3,1
ヨーロッパ,ベルギー,2022-03-01 00:00:00,Qtr 1,March,129,806.250%,0.001%,,,3,1
ヨーロッパ,ポーランド,2022-03-01 00:00:00,Qtr 1,March,88,550.000%,0.000%,27.51,97.622%,3,1
ヨーロッパ,ポルトガル,2022-03-01 00:00:00,Qtr 1,March,68,971.429%,0.001%,,,3,1
ヨーロッパ,ロシア,2022-03-01 00:00:00,Qtr 1,March,558,606.522%,0.000%,1.10,75.342%,3,1
ヨーロッパ,英国,2022-03-01 00:00:00,Qtr 1,March,763,485.987%,0.001%,156.15,103.671%,3,1
近隣アジア,マカオ,2022-03-01 00:00:00,Qtr 1,March,9,180.000%,0.001%,,,3,1
近隣アジア,韓国,2022-03-01 00:00:00,Qtr 1,March,6694,342.229%,0.013%,9.71,101.041%,3,1
近隣アジア,香港,2022-03-01 00:00:00,Qtr 1,March,488,841.379%,0.006%,15.15,108.292%,3,1
近隣アジア,台湾,2022-03-01 00:00:00,Qtr 1,March,2461,445.833%,0.010%,4.17,108.312%,3,1
近隣アジア,中国,2022-03-01 00:00:00,Qtr 1,March,9799,248.013%,0.001%,18.65,111.744%,3,1
中東,GCC6か国,2022-03-01 00:00:00,Qtr 1,March,107,305.714%,,,,3,1
中東,イスラエル,2022-03-01 00:00:00,Qtr 1,March,63,1050.000%,0.001%,,,3,1
東南アジア,インド,2022-03-01 00:00:00,Qtr 1,March,2279,310.068%,0.000%,1.56,104.698%,3,1
東南アジア,インドネシア,2022-03-01 00:00:00,Qtr 1,March,5486,2085.932%,0.002%,0.83,109.211%,3,1
東南アジア,シンガポール,2022-03-01 00:00:00,Qtr 1,March,294,481.967%,0.005%,87.19,107.708%,3,1
東南アジア,タイ,2022-03-01 00:00:00,Qtr 1,March,2165,1493.103%,0.003%,3.57,101.133%,3,1
東南アジア,フィリピン,2022-03-01 00:00:00,Qtr 1,March,4211,1931.651%,0.004%,2.28,101.786%,3,1
東南アジア,ベトナム,2022-03-01 00:00:00,Qtr 1,March,10096,4389.565%,0.010%,,,3,1
東南アジア,マレーシア,2022-03-01 00:00:00,Qtr 1,March,569,574.747%,0.002%,28.23,106.689%,3,1
南アメリカ,その他南アメリカ,2022-03-01 00:00:00,Qtr 1,March,180,285.714%,,,,3,1
南アメリカ,ブラジル,2022-03-01 00:00:00,Qtr 1,March,275,723.684%,0.000%,,,3,1
南アメリカ,メキシコ,2022-03-01 00:00:00,Qtr 1,March,165,717.391%,0.000%,5.77,110.325%,3,1
北アメリカ,カナダ,2022-03-01 00:00:00,Qtr 1,March,362,754.167%,0.001%,93.58,108.348%,3,1
北アメリカ,その他北アメリカ,2022-03-01 00:00:00,Qtr 1,March,99,412.500%,,,,3,1
北アメリカ,米国,2022-03-01 00:00:00,Qtr 1,March,3199,581.636%,0.001%,118.53,109.114%,3,1
,,2022-02-01 00:00:00,Qtr 1,February,,,,102.94,108.322%,2,1
オセアニア,その他オセアニア,2022-02-01 00:00:00,Qtr 1,February,8,266.667%,,,,2,1
オセアニア,ニュージーランド,2022-02-01 00:00:00,Qtr 1,February,26,173.333%,0.001%,76.76,100.656%,2,1
オセアニア,豪州,2022-02-01 00:00:00,Qtr 1,February,134,406.061%,0.001%,82.37,100.944%,2,1
その他,無国籍・その他,2022-02-01 00:00:00,Qtr 1,February,0,0.000%,,,,2,1
その他アジア,その他アジア,2022-02-01 00:00:00,Qtr 1,February,4078,284.976%,,,,2,1
その他アジア,モンゴル,2022-02-01 00:00:00,Qtr 1,February,198,761.538%,0.006%,,,2,1
ヨーロッパ,アイルランド,2022-02-01 00:00:00,Qtr 1,February,19,633.333%,0.000%,,,2,1
ヨーロッパ,イタリア,2022-02-01 00:00:00,Qtr 1,February,46,135.294%,0.000%,,,2,1
ヨーロッパ,オーストリア,2022-02-01 00:00:00,Qtr 1,February,9,37.500%,0.000%,,,2,1
ヨーロッパ,オランダ,2022-02-01 00:00:00,Qtr 1,February,18,94.737%,0.000%,,,2,1
ヨーロッパ,スイス,2022-02-01 00:00:00,Qtr 1,February,21,300.000%,0.000%,124.88,106.353%,2,1
ヨーロッパ,スウェーデン,2022-02-01 00:00:00,Qtr 1,February,12,133.333%,0.000%,12.40,98.101%,2,1
ヨーロッパ,スペイン,2022-02-01 00:00:00,Qtr 1,February,53,139.474%,0.000%,,,2,1
ヨーロッパ,その他ヨーロッパ,2022-02-01 00:00:00,Qtr 1,February,208,250.602%,,,,2,1
ヨーロッパ,デンマーク,2022-02-01 00:00:00,Qtr 1,February,11,220.000%,0.000%,17.55,102.452%,2,1
ヨーロッパ,ドイツ,2022-02-01 00:00:00,Qtr 1,February,81,155.769%,0.000%,,,2,1
ヨーロッパ,トルコ,2022-02-01 00:00:00,Qtr 1,February,37,246.667%,0.000%,8.47,56.999%,2,1
ヨーロッパ,ノルウェー,2022-02-01 00:00:00,Qtr 1,February,10,90.909%,0.000%,12.98,104.677%,2,1
ヨーロッパ,フィンランド,2022-02-01 00:00:00,Qtr 1,February,11,275.000%,0.000%,,,2,1
ヨーロッパ,フランス,2022-02-01 00:00:00,Qtr 1,February,140,177.215%,0.000%,,,2,1
ヨーロッパ,ベルギー,2022-02-01 00:00:00,Qtr 1,February,13,100.000%,0.000%,,,2,1
ヨーロッパ,ポーランド,2022-02-01 00:00:00,Qtr 1,February,9,128.571%,0.000%,28.69,101.235%,2,1
ヨーロッパ,ポルトガル,2022-02-01 00:00:00,Qtr 1,February,8,266.667%,0.000%,,,2,1
ヨーロッパ,ロシア,2022-02-01 00:00:00,Qtr 1,February,112,124.444%,0.000%,1.46,102.817%,2,1
ヨーロッパ,英国,2022-02-01 00:00:00,Qtr 1,February,148,202.740%,0.000%,155.95,106.866%,2,1
近隣アジア,マカオ,2022-02-01 00:00:00,Qtr 1,February,3,150.000%,0.000%,,,2,1
近隣アジア,韓国,2022-02-01 00:00:00,Qtr 1,February,913,100.330%,0.002%,9.61,101.371%,2,1
近隣アジア,香港,2022-02-01 00:00:00,Qtr 1,February,70,179.487%,0.001%,14.77,108.683%,2,1
近隣アジア,台湾,2022-02-01 00:00:00,Qtr 1,February,601,142.080%,0.003%,4.14,109.814%,2,1
近隣アジア,中国,2022-02-01 00:00:00,Qtr 1,February,2359,135.031%,0.000%,18.16,111.070%,2,1
中東,GCC6か国,2022-02-01 00:00:00,Qtr 1,February,36,327.273%,,,,2,1
中東,イスラエル,2022-02-01 00:00:00,Qtr 1,February,4,200.000%,0.000%,,,2,1
東南アジア,インド,2022-02-01 00:00:00,Qtr 1,February,1660,255.778%,0.000%,1.54,106.207%,2,1
東南アジア,インドネシア,2022-02-01 00:00:00,Qtr 1,February,539,292.935%,0.000%,0.80,106.667%,2,1
東南アジア,シンガポール,2022-02-01 00:00:00,Qtr 1,February,86,179.167%,0.001%,85.57,107.812%,2,1
東南アジア,タイ,2022-02-01 00:00:00,Qtr 1,February,137,148.913%,0.000%,3.53,100.284%,2,1
東南アジア,フィリピン,2022-02-01 00:00:00,Qtr 1,February,952,403.390%,0.001%,2.25,102.740%,2,1
東南アジア,ベトナム,2022-02-01 00:00:00,Qtr 1,February,2613,1346.907%,0.003%,,,2,1
東南アジア,マレーシア,2022-02-01 00:00:00,Qtr 1,February,109,151.389%,0.000%,27.53,105.641%,2,1
南アメリカ,その他南アメリカ,2022-02-01 00:00:00,Qtr 1,February,73,208.571%,,,,2,1
南アメリカ,ブラジル,2022-02-01 00:00:00,Qtr 1,February,117,169.565%,0.000%,,,2,1
南アメリカ,メキシコ,2022-02-01 00:00:00,Qtr 1,February,22,95.652%,0.000%,5.63,108.269%,2,1
北アメリカ,カナダ,2022-02-01 00:00:00,Qtr 1,February,101,459.091%,0.000%,90.58,109.211%,2,1
北アメリカ,その他北アメリカ,2022-02-01 00:00:00,Qtr 1,February,37,176.190%,,,,2,1
北アメリカ,米国,2022-02-01 00:00:00,Qtr 1,February,595,162.125%,0.000%,115.23,109.347%,2,1
,,2022-01-01 00:00:00,Qtr 1,January,,,,102.59,109.684%,1,1
オセアニア,その他オセアニア,2022-01-01 00:00:00,Qtr 1,January,6,600.000%,,,,1,1
オセアニア,ニュージーランド,2022-01-01 00:00:00,Qtr 1,January,40,97.561%,0.001%,77.45,103.848%,1,1
オセアニア,豪州,2022-01-01 00:00:00,Qtr 1,January,220,207.547%,0.001%,82.46,102.959%,1,1
その他,無国籍・その他,2022-01-01 00:00:00,Qtr 1,January,3,150.000%,,,,1,1
その他アジア,その他アジア,2022-01-01 00:00:00,Qtr 1,January,3163,75.634%,,,,1,1
その他アジア,モンゴル,2022-01-01 00:00:00,Qtr 1,January,186,4650.000%,0.005%,,,1,1
ヨーロッパ,アイルランド,2022-01-01 00:00:00,Qtr 1,January,72,288.000%,0.001%,,,1,1
ヨーロッパ,イタリア,2022-01-01 00:00:00,Qtr 1,January,252,164.706%,0.000%,,,1,1
ヨーロッパ,オーストリア,2022-01-01 00:00:00,Qtr 1,January,39,72.222%,0.000%,,,1,1
ヨーロッパ,オランダ,2022-01-01 00:00:00,Qtr 1,January,77,122.222%,0.000%,,,1,1
ヨーロッパ,スイス,2022-01-01 00:00:00,Qtr 1,January,40,85.106%,0.000%,125.00,106.865%,1,1
ヨーロッパ,スウェーデン,2022-01-01 00:00:00,Qtr 1,January,65,89.041%,0.001%,12.56,100.400%,1,1
ヨーロッパ,スペイン,2022-01-01 00:00:00,Qtr 1,January,301,172.989%,0.001%,,,1,1
ヨーロッパ,その他ヨーロッパ,2022-01-01 00:00:00,Qtr 1,January,372,108.140%,,,,1,1
ヨーロッパ,デンマーク,2022-01-01 00:00:00,Qtr 1,January,45,128.571%,0.001%,17.47,102.946%,1,1
ヨーロッパ,ドイツ,2022-01-01 00:00:00,Qtr 1,January,335,95.442%,0.000%,,,1,1
ヨーロッパ,トルコ,2022-01-01 00:00:00,Qtr 1,January,33,86.842%,0.000%,8.50,60.714%,1,1
ヨーロッパ,ノルウェー,2022-01-01 00:00:00,Qtr 1,January,28,96.552%,0.001%,12.99,106.650%,1,1
ヨーロッパ,フィンランド,2022-01-01 00:00:00,Qtr 1,January,42,85.714%,0.001%,,,1,1
ヨーロッパ,フランス,2022-01-01 00:00:00,Qtr 1,January,676,122.022%,0.001%,,,1,1
ヨーロッパ,ベルギー,2022-01-01 00:00:00,Qtr 1,January,47,95.918%,0.000%,,,1,1
ヨーロッパ,ポーランド,2022-01-01 00:00:00,Qtr 1,January,50,106.383%,0.000%,28.57,102.696%,1,1
ヨーロッパ,ポルトガル,2022-01-01 00:00:00,Qtr 1,January,22,68.750%,0.000%,,,1,1
ヨーロッパ,ロシア,2022-01-01 00:00:00,Qtr 1,January,220,107.843%,0.000%,1.50,107.143%,1,1
ヨーロッパ,英国,2022-01-01 00:00:00,Qtr 1,January,485,189.453%,0.001%,155.76,110.086%,1,1
近隣アジア,マカオ,2022-01-01 00:00:00,Qtr 1,January,5,35.714%,0.001%,,,1,1
近隣アジア,韓国,2022-01-01 00:00:00,Qtr 1,January,1264,49.862%,0.002%,9.61,101.801%,1,1
近隣アジア,香港,2022-01-01 00:00:00,Qtr 1,January,71,44.099%,0.001%,14.74,110.164%,1,1
近隣アジア,台湾,2022-01-01 00:00:00,Qtr 1,January,492,83.108%,0.002%,4.15,112.162%,1,1
近隣アジア,中国,2022-01-01 00:00:00,Qtr 1,January,1490,14.572%,0.000%,18.06,112.664%,1,1
中東,GCC6か国,2022-01-01 00:00:00,Qtr 1,January,105,164.063%,,,,1,1
中東,イスラエル,2022-01-01 00:00:00,Qtr 1,January,23,100.000%,0.000%,,,1,1
東南アジア,インド,2022-01-01 00:00:00,Qtr 1,January,2058,227.403%,0.000%,1.54,108.451%,1,1
東南アジア,インドネシア,2022-01-01 00:00:00,Qtr 1,January,484,52.495%,0.000%,0.80,108.108%,1,1
東南アジア,シンガポール,2022-01-01 00:00:00,Qtr 1,January,72,84.706%,0.001%,85.05,108.704%,1,1
東南アジア,タイ,2022-01-01 00:00:00,Qtr 1,January,356,49.513%,0.001%,3.46,100.000%,1,1
東南アジア,フィリピン,2022-01-01 00:00:00,Qtr 1,January,952,95.391%,0.001%,2.24,103.704%,1,1
東南アジア,ベトナム,2022-01-01 00:00:00,Qtr 1,January,424,2.117%,0.000%,,,1,1
東南アジア,マレーシア,2022-01-01 00:00:00,Qtr 1,January,171,70.661%,0.001%,27.42,106.693%,1,1
南アメリカ,その他南アメリカ,2022-01-01 00:00:00,Qtr 1,January,133,154.651%,,,,1,1
南アメリカ,ブラジル,2022-01-01 00:00:00,Qtr 1,January,279,109.843%,0.000%,,,1,1
南アメリカ,メキシコ,2022-01-01 00:00:00,Qtr 1,January,110,196.429%,0.000%,5.60,107.486%,1,1
北アメリカ,カナダ,2022-01-01 00:00:00,Qtr 1,January,223,178.400%,0.001%,91.02,111.667%,1,1
北アメリカ,その他北アメリカ,2022-01-01 00:00:00,Qtr 1,January,119,212.500%,,,,1,1
北アメリカ,米国,2022-01-01 00:00:00,Qtr 1,January,1785,148.010%,0.001%,114.86,110.772%,1,1
,,2021-12-01 00:00:00,Qtr 4,December,,,,101.61,108.794%,12,4
オセアニア,その他オセアニア,2021-12-01 00:00:00,Qtr 4,December,7,87.500%,,,,12,4
オセアニア,ニュージーランド,2021-12-01 00:00:00,Qtr 4,December,57,67.857%,0.001%,77.28,105.100%,12,4
オセアニア,豪州,2021-12-01 00:00:00,Qtr 4,December,124,75.610%,0.000%,81.42,104.358%,12,4
その他,無国籍・その他,2021-12-01 00:00:00,Qtr 4,December,1,50.000%,,,,12,4
その他アジア,その他アジア,2021-12-01 00:00:00,Qtr 4,December,3707,58.003%,,,,12,4
その他アジア,モンゴル,2021-12-01 00:00:00,Qtr 4,December,146,26.545%,0.004%,,,12,4
ヨーロッパ,アイルランド,2021-12-01 00:00:00,Qtr 4,December,28,147.368%,0.001%,,,12,4
ヨーロッパ,イタリア,2021-12-01 00:00:00,Qtr 4,December,73,47.712%,0.000%,,,12,4
ヨーロッパ,オーストリア,2021-12-01 00:00:00,Qtr 4,December,9,39.130%,0.000%,,,12,4
ヨーロッパ,オランダ,2021-12-01 00:00:00,Qtr 4,December,36,49.315%,0.000%,,,12,4
ヨーロッパ,スイス,2021-12-01 00:00:00,Qtr 4,December,17,25.373%,0.000%,123.65,105.928%,12,4
ヨーロッパ,スウェーデン,2021-12-01 00:00:00,Qtr 4,December,26,34.211%,0.000%,12.54,101.129%,12,4
ヨーロッパ,スペイン,2021-12-01 00:00:00,Qtr 4,December,62,46.269%,0.000%,,,12,4
ヨーロッパ,その他ヨーロッパ,2021-12-01 00:00:00,Qtr 4,December,158,39.206%,,,,12,4
ヨーロッパ,デンマーク,2021-12-01 00:00:00,Qtr 4,December,14,46.667%,0.000%,17.31,102.064%,12,4
ヨーロッパ,ドイツ,2021-12-01 00:00:00,Qtr 4,December,97,32.770%,0.000%,,,12,4
ヨーロッパ,トルコ,2021-12-01 00:00:00,Qtr 4,December,34,70.833%,0.000%,8.59,63.914%,12,4
ヨーロッパ,ノルウェー,2021-12-01 00:00:00,Qtr 4,December,5,22.727%,0.000%,12.69,106.549%,12,4
ヨーロッパ,フィンランド,2021-12-01 00:00:00,Qtr 4,December,9,31.034%,0.000%,,,12,4
ヨーロッパ,フランス,2021-12-01 00:00:00,Qtr 4,December,204,45.434%,0.000%,,,12,4
ヨーロッパ,ベルギー,2021-12-01 00:00:00,Qtr 4,December,22,47.826%,0.000%,,,12,4
ヨーロッパ,ポーランド,2021-12-01 00:00:00,Qtr 4,December,12,21.818%,0.000%,27.88,98.795%,12,4
ヨーロッパ,ポルトガル,2021-12-01 00:00:00,Qtr 4,December,7,63.636%,0.000%,,,12,4
ヨーロッパ,ロシア,2021-12-01 00:00:00,Qtr 4,December,83,21.337%,0.000%,1.54,110.000%,12,4
ヨーロッパ,英国,2021-12-01 00:00:00,Qtr 4,December,182,51.558%,0.000%,151.43,108.622%,12,4
近隣アジア,マカオ,2021-12-01 00:00:00,Qtr 4,December,1,6.667%,0.000%,,,12,4
近隣アジア,韓国,2021-12-01 00:00:00,Qtr 4,December,1064,37.892%,0.002%,9.62,101.370%,12,4
近隣アジア,香港,2021-12-01 00:00:00,Qtr 4,December,73,25.436%,0.001%,14.60,108.955%,12,4
近隣アジア,台湾,2021-12-01 00:00:00,Qtr 4,December,276,28.308%,0.001%,4.11,111.685%,12,4
近隣アジア,中国,2021-12-01 00:00:00,Qtr 4,December,1764,9.605%,0.000%,17.87,112.319%,12,4
中東,GCC6か国,2021-12-01 00:00:00,Qtr 4,December,39,139.286%,,,,12,4
中東,イスラエル,2021-12-01 00:00:00,Qtr 4,December,12,42.857%,0.000%,,,12,4
東南アジア,インド,2021-12-01 00:00:00,Qtr 4,December,1243,76.351%,0.000%,1.51,107.092%,12,4
東南アジア,インドネシア,2021-12-01 00:00:00,Qtr 4,December,262,7.887%,0.000%,0.80,108.108%,12,4
東南アジア,シンガポール,2021-12-01 00:00:00,Qtr 4,December,51,42.149%,0.001%,83.52,107.228%,12,4
東南アジア,タイ,2021-12-01 00:00:00,Qtr 4,December,173,25.329%,0.000%,3.39,98.261%,12,4
東南アジア,フィリピン,2021-12-01 00:00:00,Qtr 4,December,238,10.263%,0.000%,2.27,105.093%,12,4
東南アジア,ベトナム,2021-12-01 00:00:00,Qtr 4,December,331,2.107%,0.000%,,,12,4
東南アジア,マレーシア,2021-12-01 00:00:00,Qtr 4,December,58,19.333%,0.000%,27.04,105.625%,12,4
南アメリカ,その他南アメリカ,2021-12-01 00:00:00,Qtr 4,December,29,29.897%,,,,12,4
南アメリカ,ブラジル,2021-12-01 00:00:00,Qtr 4,December,44,45.361%,0.000%,,,12,4
南アメリカ,メキシコ,2021-12-01 00:00:00,Qtr 4,December,39,79.592%,0.000%,5.43,104.423%,12,4
北アメリカ,カナダ,2021-12-01 00:00:00,Qtr 4,December,102,55.738%,0.000%,88.96,109.881%,12,4
北アメリカ,その他北アメリカ,2021-12-01 00:00:00,Qtr 4,December,26,34.667%,,,,12,4
北アメリカ,米国,2021-12-01 00:00:00,Qtr 4,December,956,70.920%,0.000%,113.88,109.669%,12,4
,,2021-11-01 00:00:00,Qtr 4,November,,,,102.08,109.253%,11,4
オセアニア,その他オセアニア,2021-11-01 00:00:00,Qtr 4,November,31,182.353%,,,,11,4
オセアニア,ニュージーランド,2021-11-01 00:00:00,Qtr 4,November,125,125.000%,0.003%,80.18,111.905%,11,4
オセアニア,豪州,2021-11-01 00:00:00,Qtr 4,November,160,62.745%,0.001%,83.48,109.943%,11,4
その他,無国籍・その他,2021-11-01 00:00:00,Qtr 4,November,0,0.000%,,,,11,4
その他アジア,その他アジア,2021-11-01 00:00:00,Qtr 4,November,3894,75.524%,,,,11,4
その他アジア,モンゴル,2021-11-01 00:00:00,Qtr 4,November,287,46.515%,0.008%,,,11,4
